TROBL_TY_NM,WarmUp,Main,Finish
시각장애,앉아서 다리 밀기,한발 앞으로 내밀고 앉았다 일어서기,앉아서 다리 벌리기
시각장애,앉아서 다리 밀기,앉아서 다리 모으기,비스듬히 누워서 밀기
시각장애,앉아서 모으기,턱걸이,비스듬히 누워서 밀기
시각장애,트레드밀에서 걷기,앉아서 다리 모으기,앉아서 다리 벌리기
시각장애,앉아서 다리 밀기,앉아서 뒤로 당기기,앉아서 다리 벌리기
시각장애,실내 자전거타기,턱걸이,비스듬히 누워서 밀기
시각장애,거꾸로 누워서 밀기,누워서 밀기,앉아서 다리 벌리기
시각장애,트레드밀에서 걷기,앉아서 뒤로 당기기,비스듬히 누워서 밀기
시각장애,앉아서 모으기,앉아서 다리 모으기,바벨들어올리기
시각장애,앉아서 다리 펴기,앉아서 뒤로 당기기,비스듬히 누워서 밀기
시각장애,앉아서 다리 밀기,한발 앞으로 내밀고 앉았다 일어서기,앉아서 다리 벌리기
시각장애,앉아서 몸통 움츠리기,턱걸이,앉아서 다리 굽히기
시각장애,앉아서 다리 펴기,발 닿기,비스듬히 누워서 밀기
시각장애,몸통 들어올리기,앉아서 다리 모으기,앉아서 다리 굽히기
시각장애,앉아서 모으기,누워서 밀기,앉아서 다리 굽히기
시각장애,트레드밀에서 걷기,앉아서 다리 모으기,앉아서 다리 벌리기
시각장애,앉아서 모으기,허리 굽혀 덤벨 들기,앉아서 당겨 내리기
시각장애,앉아서 다리 펴기,앉아서 다리 모으기,앉아서 다리 벌리기
시각장애,실내 자전거타기,앉아서 다리 모으기,앉아서 다리 굽히기
시각장애,매달려서 다리 들기,턱걸이,앉아서 다리 벌리기
시각장애,앉아서 모으기,누워서 밀기,앉아서 다리 굽히기
시각장애,앉아서 다리 펴기,앉아서 뒤로 당기기,앉아서 다리 벌리기
시각장애,앉아서 다리 펴기,누워서 밀기,비스듬히 누워서 밀기
시각장애,앉아서 다리 밀기,앉아서 위로 밀기,앉아서 다리 벌리기
시각장애,앉아서 다리 밀기,앉아서 다리 모으기,앉아서 다리 벌리기
시각장애,앉아서 다리 펴기,앉아서 다리 모으기,비스듬히 누워서 밀기
시각장애,앉아서 다리 밀기,한발 앞으로 내밀고 앉았다 일어서기,비스듬히 누워서 밀기
시각장애,앉아서 다리 밀기,앉아서 위로 밀기,앉아서 다리 벌리기
시각장애,앉아서 다리 밀기,앉아서 위로 밀기,앉아서 다리 벌리기
시각장애,실내 자전거타기,앉아서 뒤로 당기기,앉아서 다리 벌리기
